,avgpss,batchid,computingsite,cpu_eff,cpuconsumptiontime,modificationhost,pandaid,wall_time
190,1957814.0,6426511,IN2P3-CC,0.9670073,9936,ccwsge0569,2858292186,10275
191,1349581.0,6427038,IN2P3-CC,0.9489814,5264,ccwsge0245,2858291054,5547
192,1341113.0,6427092,IN2P3-CC,0.97022074,9318,ccwsge0564,2858291056,9604
193,1770361.0,6416449,IN2P3-CC,0.9783319,19460,ccwsge0160,2858201912,19891
194,1484594.0,6445806,IN2P3-CC,0.9081365,2422,ccwsge0784,2858475242,2667
195,1468936.0,6447707,IN2P3-CC,0.9234412,2340,ccwsge0823,2858475247,2534
196,1840551.0,6416434,IN2P3-CC,0.9798643,17762,ccwsge1149,2858201915,18127
197,1462152.0,6445809,IN2P3-CC,0.8987241,2254,ccwsge0589,2858475246,2508
198,1402858.0,6445450,IN2P3-CC,0.9311348,2880,ccwsge1137,2858465573,3093
199,1376447.0,6445102,IN2P3-CC,0.90702146,2829,ccwsge0186,2858465565,3119
200,1804728.0,6429363,IN2P3-CC,0.9610109,10229,ccwsge0205,2858308109,10644
201,797101.0,6435965,IN2P3-CC,0.66013986,472,ccwsge0191,2858385846,715
202,687957.0,6435410,IN2P3-CC,0.7239884,501,ccwsge0805,2858385848,692
203,810851.0,6435254,IN2P3-CC,0.7124183,545,ccwsge0803,2858385879,765
204,811880.0,6437710,IN2P3-CC,0.6524823,460,ccwsge0112,2858385891,705
205,1099996.0,6437963,IN2P3-CC,0.85211605,1792,ccwsge0817,2858444706,2103
206,744797.0,6432084,IN2P3-CC,0.7457213,610,ccwsge0712,2858385874,818
207,683222.0,6441665,IN2P3-CC,0.6964286,312,ccwsge0581,2858444721,448
208,991153.0,6456840,IN2P3-CC,0.83800244,688,ccwsge0592,2858577111,821
209,1659213.0,6450247,IN2P3-CC,0.9047506,3809,ccwsge0203,2856942040,4210
210,1621760.0,6437839,IN2P3-CC,0.95796,5560,ccwsge0773,2858410744,5804
211,1914231.0,6418378,IN2P3-CC,0.979114,19361,ccwsge0601,2858193185,19774
212,1763643.0,6418628,IN2P3-CC,0.97960305,17818,ccwsge0833,2858193197,18189
213,1911894.0,6418373,IN2P3-CC,0.975021,18580,ccwsge1142,2858193203,19056
214,1579938.0,6437835,IN2P3-CC,0.9693446,10087,ccwsge0151,2858410747,10406
215,1615737.0,6438218,IN2P3-CC,0.96581805,5425,ccwsge0790,2858410748,5617
216,1617185.0,6438197,IN2P3-CC,0.96496814,6363,ccwsge0576,2858410749,6594
217,1962885.0,6418821,IN2P3-CC,0.9738189,18077,ccwsge0118,2858203393,18563
218,1856045.0,6418374,IN2P3-CC,0.9779665,16467,ccwsge0750,2858193189,16838
219,1550690.0,6443344,IN2P3-CC,0.9546273,5302,ccwsge0575,2858441958,5554
220,1560050.0,6443325,IN2P3-CC,0.947898,5276,ccwsge0596,2858441962,5566
221,2134401.0,6446699,IN2P3-CC,0.9747343,8989,ccwsge0768,2858470557,9222
222,836883.0,6459343,IN2P3-CC,0.84117645,572,ccwsge1119,2858601486,680
223,955824.0,6458881,IN2P3-CC,0.8419151,932,ccwsge0598,2858597105,1107
224,1725157.0,6464216,IN2P3-CC,0.9757215,8520,ccwsge0593,2858624165,8732
225,1653425.0,6465220,IN2P3-CC,0.96991104,7414,ccwsge0755,2858624168,7644
226,1644774.0,6465222,IN2P3-CC,0.9740185,8510,ccwsge0608,2858624166,8737
227,1630392.0,6465226,IN2P3-CC,0.9745123,9291,ccwsge0580,2858624176,9534
228,1647450.0,6458069,IN2P3-CC,0.96819085,10227,ccwsge1148,2858585518,10563
229,830735.0,6475538,IN2P3-CC,0.88259107,654,ccwsge0586,2858849459,741
230,1789282.0,6454287,IN2P3-CC,0.9776017,18506,ccwsge0264,2858499650,18930
231,1734878.0,6454283,IN2P3-CC,0.97557,16772,ccwsge0777,2858499645,17192
232,1677835.0,6454587,IN2P3-CC,0.9780088,17122,ccwsge0777,2858499661,17507
233,1240617.0,6466257,IN2P3-CC,0.91648084,4521,ccwsge0571,2858761650,4933
234,1675376.0,6459643,IN2P3-CC,0.9677455,8761,ccwsge0822,2858583954,9053
235,1543506.0,6459645,IN2P3-CC,0.97364503,8497,ccwsge0808,2858583922,8727
236,1656561.0,6459584,IN2P3-CC,0.96715766,9718,ccwsge0361,2858583907,10048
237,754539.0,6466250,IN2P3-CC,0.7254335,502,ccwsge0778,2858627198,692
238,743602.0,6466251,IN2P3-CC,0.7295597,464,ccwsge0762,2858627199,636
239,813445.0,6465357,IN2P3-CC,0.72902495,643,ccwsge0138,2858627211,882
240,1006410.0,6469066,IN2P3-CC,0.8057554,1456,ccwsge0773,2858788824,1807
241,609269.0,6466256,IN2P3-CC,0.6792873,305,ccwsge0365,2858627206,449
242,820558.0,6465363,IN2P3-CC,0.7003654,575,ccwsge0160,2858627344,821
243,838659.0,6466268,IN2P3-CC,0.6968912,538,ccwsge0581,2858627342,772
244,680671.0,6465366,IN2P3-CC,0.7249284,506,ccwsge0797,2858627340,698
245,522653.0,6465364,IN2P3-CC,0.58733624,269,ccwsge0769,2858627341,458
246,1063196.0,6469068,IN2P3-CC,0.83056134,1598,ccwsge0581,2858788847,1924
247,715303.0,6465520,IN2P3-CC,0.6103647,318,ccwsge0252,2858627350,521
248,601092.0,6466278,IN2P3-CC,0.64876956,290,ccwsge0222,2858627358,447
249,934399.0,6475074,IN2P3-CC,0.8873239,819,ccwsge0767,2858840682,923
250,1233478.0,6473652,IN2P3-CC,0.89268154,3086,ccwsge0563,2858807101,3457
251,1704351.0,6465231,IN2P3-CC,0.9645495,5877,ccwsge0932,2858624390,6093
